clouds,max_wind_spd,min_temp,revision_status,snow,solar_rad,temp,wind_gust_spd,wind_spd
100,4.0,1.2,1,2.0,6,3.4,8.9,2.9
48,5.0,-2.0,1,36.0,62,0.8,11.1,3.9
66,2.9,-2.9,1,51.5,25,-1.1,6.4,1.9
100,3.0,0.2,1,127.3,7,0.6,6.6,2.1
95,2.7,-0.2,1,0.0,7,0.4,6.2,1.6
100,2.6,0.1,1,15.0,7,1.8,5.9,1.4
99,4.3,1.0,1,0.0,8,2.5,9.9,3.0
66,5.7,2.5,1,0.0,43,4.4,12.9,4.6
88,3.2,1.2,1,0.0,15,2.7,7.3,2.1
83,3.3,0.2,1,0.0,50,2.6,7.9,2.4
98,1.7,-0.1,1,39.3,13,1.5,4.4,0.9
97,2.4,0.0,1,0.0,13,1.7,5.5,1.4
90,3.5,0.0,1,0.0,30,1.7,8.5,2.5
88,5.4,1.3,1,0.0,22,2.5,12.3,3.9
95,4.4,2.0,1,0.0,9,3.5,10.2,3.4
89,3.9,2.4,1,0.0,34,3.5,8.7,2.6
78,3.6,0.3,1,0.0,97,2.6,7.7,2.5
67,3.4,-0.8,1,0.0,102,0.6,7.7,2.4
75,4.0,-0.9,1,0.0,34,0.5,8.9,3.4
36,2.3,-1.8,1,12.0,70,0.2,5.3,1.4
23,2.2,-3.1,1,0.0,106,0.2,5.0,1.5
56,2.8,-3.0,1,0.0,100,-0.6,6.3,1.9
100,2.8,-2.3,1,0.0,30,-1.3,6.2,2.1
91,4.2,-1.4,1,12.0,32,-0.5,9.3,2.8
59,3.7,-1.2,1,0.0,118,0.4,8.3,2.2
46,2.5,-2.2,1,26.0,84,0.6,5.5,1.4
97,3.0,0.3,1,39.0,23,1.9,6.2,1.9
100,5.3,2.0,1,0.0,22,6.1,11.6,4.2
97,4.3,7.3,1,0.0,41,8.1,9.8,3.4
98,6.0,-1.2,1,42.5,14,4.8,13.2,3.5
48,7.6,-3.5,1,80.0,107,-1.7,17.1,5.6
60,2.5,-4.5,1,20.0,137,-1.9,5.8,1.8
36,2.6,-4.0,1,0.0,131,-0.8,6.4,1.6
94,2.0,-1.1,1,59.8,15,1.0,4.7,1.3
91,2.2,1.8,1,0.0,36,3.2,6.4,1.0
83,6.5,2.8,1,0.0,32,4.8,11.2,3.9
61,5.7,1.0,1,0.0,128,4.2,12.8,4.0
88,4.0,0.0,1,0.0,39,1.8,8.4,2.5
87,3.7,-1.0,1,16.0,61,0.7,6.8,2.4
87,5.8,-1.0,1,3.0,31,1.3,10.4,3.7
76,6.6,1.0,1,0.0,98,4.5,11.6,4.4
76,5.3,2.0,1,0.0,80,6.2,10.4,3.6
86,5.6,5.0,1,0.0,43,7.6,10.4,3.3
66,4.4,1.0,1,0.0,131,7.8,7.6,2.2
98,4.0,4.0,1,0.0,47,6.0,9.6,2.8
70,6.2,2.0,1,0.0,41,4.3,11.6,3.9
96,8.1,-1.0,1,403.8,32,-0.1,19.6,6.6
92,6.8,-3.8,1,16.0,48,-1.8,15.2,5.9
90,4.5,-3.8,1,68.0,50,-1.4,10.0,3.4
100,4.2,-0.5,1,111.0,20,1.3,9.4,2.2
100,3.2,0.9,1,18.3,32,2.3,6.5,2.2
81,5.8,1.8,1,0.0,104,8.0,12.1,4.4
78,4.0,7.3,1,0.0,138,11.0,9.3,2.9
91,3.1,5.7,1,0.0,154,10.1,6.9,1.5
76,7.3,6.3,1,0.0,96,9.2,17.5,5.0
83,5.7,5.1,1,0.0,55,7.6,12.9,4.7
61,5.1,7.0,1,0.0,63,9.9,11.4,3.3
82,5.3,7.5,1,0.0,85,9.8,12.2,4.1
98,7.7,5.4,1,0.0,140,7.3,17.8,4.7
81,5.3,1.1,1,11.5,77,4.8,11.8,3.3
96,4.6,0.1,1,0.0,73,2.8,9.3,2.8
71,6.2,-0.1,1,0.0,139,3.4,12.4,4.5
92,3.3,-1.1,1,0.0,74,1.4,7.6,2.6
99,3.7,-0.8,1,0.0,69,1.4,8.7,2.6
97,4.1,-1.8,1,0.0,61,-0.1,9.9,3.6
92,4.2,-1.9,1,0.0,62,-0.6,10.1,3.5
90,5.7,-1.4,1,3.5,87,-0.3,12.8,4.3
88,4.4,-2.0,1,0.0,107,2.0,9.7,2.8
75,3.9,1.8,1,0.0,232,4.6,9.0,2.2
98,3.2,1.1,1,1.0,43,3.0,7.1,2.3
96,2.5,0.7,1,8.0,34,3.2,5.8,1.5
74,4.4,1.3,1,0.0,64,4.7,9.5,2.3
73,5.0,0.9,1,0.0,77,5.3,10.7,2.6
74,4.0,6.5,1,0.0,85,10.4,10.3,2.6
35,3.0,5.8,1,0.0,261,11.1,7.1,1.4
41,4.4,5.9,1,0.0,268,9.3,9.5,2.8
93,4.4,6.0,1,0.0,80,9.8,9.8,3.0
13,3.7,5.5,1,0.0,276,10.7,8.2,2.3
0,3.7,6.5,1,0.0,279,13.0,8.6,1.7
97,3.9,5.7,1,0.0,56,7.7,8.4,2.7
75,4.7,2.3,1,0.0,164,7.9,10.4,3.6
25,3.2,0.3,1,0.0,285,5.7,7.7,2.4
97,4.3,3.6,1,0.0,31,4.1,9.8,3.0
98,3.3,3.5,1,0.0,56,7.4,7.6,2.0
77,4.4,6.1,1,0.0,277,9.1,9.8,3.0
35,3.6,4.6,1,0.0,286,9.7,8.1,1.5
49,3.7,4.0,1,0.0,216,14.0,4.8,1.8
39,5.0,8.0,1,0.0,295,16.8,7.6,2.0
49,5.3,8.0,1,0.0,109,16.2,10.0,2.7
15,6.6,8.0,1,0.0,303,16.2,10.4,3.6
14,5.4,9.0,1,0.0,306,16.9,10.0,2.7
0,5.3,7.0,1,0.0,308,16.0,8.8,2.5
8,4.2,7.0,1,0.0,310,16.8,8.4,2.2
6,5.7,10.0,1,0.0,310,18.0,11.2,3.1
37,5.7,9.0,1,0.0,229,12.8,13.2,4.0
1,4.5,5.0,1,0.0,316,13.4,10.0,2.9
0,6.8,8.0,1,0.0,317,14.9,10.4,3.9
12,8.0,11.0,1,0.0,319,16.8,10.8,4.4
68,5.0,14.0,1,0.0,82,17.8,9.2,3.2
29,4.7,11.0,1,0.0,288,19.1,7.6,2.3
19,5.3,13.0,1,0.0,285,18.6,8.8,3.4
36,6.1,14.0,1,0.0,260,20.6,10.0,3.5
33,5.4,14.0,1,0.0,318,20.2,8.9,3.3
37,4.6,13.0,1,0.0,302,17.5,14.0,2.3
25,3.7,10.0,1,0.0,308,18.0,8.0,2.6
56,5.1,14.0,1,0.0,183,20.0,8.0,2.9
17,5.8,15.0,1,0.0,294,22.1,8.8,3.2
33,5.1,15.0,1,0.0,295,19.7,10.4,3.3
47,4.9,12.0,1,0.0,169,19.7,10.4,2.5
21,7.1,15.0,1,0.0,335,18.6,11.2,4.2
44,7.8,14.0,1,0.0,259,16.9,17.6,4.6
31,6.2,8.0,1,0.0,287,14.2,12.4,3.8
46,5.3,8.0,1,0.0,258,13.6,11.2,3.8
67,5.0,9.0,1,0.0,238,13.7,12.4,3.3
57,7.2,9.0,1,0.0,257,11.5,17.2,4.8
49,6.9,9.0,1,0.0,181,11.1,18.4,4.5
45,4.4,8.0,1,0.0,243,13.2,6.8,2.8
70,4.2,10.0,1,0.0,251,13.8,8.4,2.0
50,5.1,8.0,1,0.0,254,12.7,11.6,2.8
41,5.8,8.0,1,0.0,295,12.9,10.0,2.5
41,6.2,9.0,1,0.0,261,14.5,12.0,3.7
58,6.2,13.0,1,0.0,217,16.6,12.8,3.5
58,4.5,11.0,1,0.0,305,16.6,8.8,2.5
39,5.9,12.0,1,0.0,278,16.1,12.8,3.1
31,5.7,9.0,1,0.0,226,14.6,9.2,3.4
19,9.8,11.0,1,0.0,337,17.4,14.4,5.1
23,5.3,13.0,1,0.0,324,17.4,10.8,3.3
76,5.8,11.0,1,0.0,92,16.1,10.0,3.3
58,3.4,14.0,1,0.0,211,17.8,7.2,2.5
43,4.9,11.0,1,0.0,302,18.8,7.6,2.4
4,4.4,15.5,1,0.0,342,20.9,10.0,2.8
14,4.6,16.0,1,0.0,342,22.2,9.6,2.7
5,5.3,16.0,1,0.0,340,22.5,10.0,3.0
62,7.7,17.0,1,0.0,148,23.1,12.4,4.1
49,8.4,14.0,1,0.0,254,18.2,15.6,5.7
77,4.4,11.0,1,0.0,74,14.9,12.0,2.7
